Frame: 153, Tracker ID: 7, Speed: 108 km/h
Frame: 154, Tracker ID: 5, Speed: 111 km/h
Frame: 154, Tracker ID: 7, Speed: 111 km/h
Frame: 155, Tracker ID: 5, Speed: 115 km/h
Frame: 155, Tracker ID: 7, Speed: 108 km/h
Frame: 156, Tracker ID: 5, Speed: 115 km/h
Frame: 156, Tracker ID: 7, Speed: 104 km/h
Frame: 157, Tracker ID: 5, Speed: 115 km/h
Frame: 157, Tracker ID: 7, Speed: 108 km/h
Frame: 158, Tracker ID: 7, Speed: 108 km/h
Frame: 158, Tracker ID: 5, Speed: 115 km/h
Frame: 159, Tracker ID: 7, Speed: 111 km/h
Frame: 159, Tracker ID: 5, Speed: 115 km/h
Frame: 160, Tracker ID: 7, Speed: 111 km/h
Frame: 160, Tracker ID: 5, Speed: 118 km/h
Frame: 161, Tracker ID: 7, Speed: 111 km/h
Frame: 161, Tracker ID: 5, Speed: 115 km/h
Frame: 162, Tracker ID: 7, Speed: 111 km/h
Frame: 162, Tracker ID: 5, Speed: 115 km/h
